# DiversMap 統合地点データ
# フォーマット: id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
#
# category: transit / hazard / accessible / food / tourism / shopping / medical / other
# tags: | 区切りのタグ（バリアフリー設備・店舗特徴など）
# lat/lng: 省略可（空欄でマップに表示しない）
#
# 追加・修正はこのファイルを直接編集してください（再ビルド不要）
# 既存施設データを更新する場合は dart run tool/migrate_to_places.dart を再実行
id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
bf_0030,大池公民館,accessible,官公庁舎・公共施設,南区,815-0074,福岡市南区寺塚２丁目９－１１,092-511-4231,,西鉄バス 野間大池バス停から徒歩約１０分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,車いす貸出|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|オストメイト対応設備|温水洗浄便座|全館禁煙,市データ,33.558506,130.403473
bf_0031,大楠公民館,accessible,官公庁舎・公共施設,南区,815-0082,福岡市南区大楠１丁目２２－１３,092-521-7044,,西鉄大楠バス停から徒歩約2分,http://gakushu.city.fukuoka.lg.jp/center/,公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,車いす貸出|バリアフリートイレ|障がい者等対応エレベーター|筆談対応|温水洗浄便座|全館禁煙,市データ,33.572582,130.416565
bf_0032,大浜公民館,accessible,官公庁舎・公共施設,博多区,812-0034,福岡市博多区下呉服町１０－１５,092-281-0343,,西鉄石堂大橋バス停から徒歩４分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,車いす貸出|エレベーター|バリアフリートイレ|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|温水洗浄便座|全館禁煙,市データ,33.602787,130.407806
bf_0033,大原公民館,accessible,官公庁舎・公共施設,早良区,814-0022,福岡市早良区原４丁目８－１３,092-822-0428,,西鉄バス 原バス停から徒歩約5分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,車いす貸出|エレベーター|バリアフリートイレ|段差無し|乗り降りしやすい駐車場|点字（誘導）ブロック|親子トイレ|屋内のおむつ交換スペース|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|全館禁煙,市データ,33.568691,130.342056
bf_0034,福岡市地下鉄 大濠公園駅,accessible,公共交通機関,中央区,810-0074,福岡市中央区大手門一丁目,092-741-7800,地下鉄営業時間内,,https://subway.city.fukuoka.lg.jp/eki/stations/oohori.php,駅務室にＡＥＤがあります。,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|文字案内|筆談対応|点字（誘導）ブロック|点字案内|音声案内|ほじょ犬の同伴可能|トイレのおむつ交換スペース|ベビーチェア|お子さま、お子さま連れの方への割引|公衆電話|障がいのある方、高齢者の方への割引|介助用ベッド、大型ベッド、ユニバーサルシート|オストメイト対応設備|温水洗浄便座|洋式トイレ|全館禁煙,市データ,33.589336,130.384109
bf_0035,曰佐公民館,accessible,官公庁舎・公共施設,南区,811-1314,福岡市南区的場２丁目１７－６,092-591-5542,,西鉄曰佐公民館バス停から徒歩約1分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|全館禁煙,市データ,33.54015,130.432648
bf_0036,小笹公民館,accessible,官公庁舎・公共施設,中央区,810-0016,福岡市中央区平和５丁目１３－７５,092-531-9428,,西鉄小笹バス停から徒歩約6分,http://gakushu.city.fukuoka.lg.jp/center/,公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,車いす貸出|車いす対応客席|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|筆談対応|温水洗浄便座|全館禁煙,市データ,33.563732,130.393387
bf_0037,介護老人保健施設 ケアセンターひまわり苑,accessible,福祉,早良区,811-1122,福岡市早良区早良１－５－５６,092-804-8000,,西鉄平尾新町バス停から徒歩1分,http://www.fukuseikai-group.com/himawari/,早良区にある介護老人保健施設ケアセンターひまわり苑です。 「利用者・家族・職員・地域のつながりを大切にしたケアを創ります。 その人らしさを大切にし、自立・在宅復帰を支援します。」,車いす貸出|車いす対応公衆電話|エレベーター|バリアフリートイレ|段差無し|乗り降りしやすい駐車場|文字案内|公衆電話|温水洗浄便座|全館禁煙,市データ,33.507172,130.336487
bf_0038,福岡市地下鉄 貝塚駅,accessible,公共交通機関,東区,812-0053,福岡市東区箱崎七丁目１番１号,092-651-7800,地下鉄営業時間内,,https://subway.city.fukuoka.lg.jp/eki/stations/kaizuka.php,駅務室にＡＥＤがあります。,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|文字案内|筆談対応|点字（誘導）ブロック|点字案内|音声案内|ほじょ犬の同伴可能|トイレのおむつ交換スペース|ベビーチェア|お子さま、お子さま連れの方への割引|障がいのある方、高齢者の方への割引|介助用ベッド、大型ベッド、ユニバーサルシート|オストメイト対応設備|温水洗浄便座|洋式トイレ|全館禁煙,市データ,33.630524,130.425446
bf_0039,香椎公民館,accessible,官公庁舎・公共施設,東区,813-0013,福岡市東区香椎駅前二丁目17-19,092-661-3258,,西鉄バス 香椎バス停から徒歩1分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、和室、研修室、児童等集会室、地域団体室、事務室） ・老人いこいの家,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|文字案内|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|オストメイト対応設備|温水洗浄便座|全館禁煙,市データ,33.659706,130.44043
